title,price,image_url
 Score Passion Fruit Flavoured Energy Drink 500ml, R7.99,https://www.shoprite.co.za/medias/10722932EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w2OTU4M3xpbWFnZS9wbmd8aW1hZ2VzL2hhOS9oOWEvOTAxNTQ0NzE1ODgxNC5wbmd8ZDBiMmE4MGMwNzExM2JiNjUzMzVhNzU4NDY4ZDU5NDdkOTlmNGY1N2I2YzEwMzhlNTFjOWQyZmVkNTVhZTk5MA
 Crystal Valley Gouda Flavoured Full Cream Processed Cheese Pack 400g, R46.99,https://www.shoprite.co.za/medias/10721117EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w1ODM0OHxpbWFnZS9wbmd8aW1hZ2VzL2hiMC9oNGYvOTAxNTQ1NzEyMDI4Ni5wbmd8MjNhNWFmMDIwZDI0MDFjYzAyZjJmMGQ0NzA1NTdlYWUyNGM3ZTNjOWZiNDg5NjQ5ZWIzZTE2Y2ZhYzVmMjk3Mw
 Crystal Valley Cheddar Flavoured Full Cream Processed Cheese Pack 400g, R46.99,https://www.shoprite.co.za/medias/10721118EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w2MTMzOHxpbWFnZS9wbmd8aW1hZ2VzL2hmZS9oMTIvOTAxNTQ1ODEwMzMyNi5wbmd8ZmJlZDEzY2ZhYzEyMDUyNTBkZWZiY2Y5OWM2YTFjYWZiMWNiYTc0MWQ3YTlmOGE3ODc3YjQwYzE3NGE4MzhmNA
 Farmer's Deli Diced Bacon 200g, R24.99,https://www.shoprite.co.za/medias/10722943EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w5MjIxNXxpbWFnZS9wbmd8aW1hZ2VzL2gxNS9oMWQvOTA0NzAxOTY1MTEwMi5wbmd8ZjBlNTIyYTI4ZThmZTc5N2U4NWQ4ODcyNjdjZGY5YzY0N2IyNzEyOWEyYjVjZTUyYzY0ZTJiMDNmMDJjYzFhMQ
 Farmer's Deli Shoulder Bacon 200g, R24.99,https://www.shoprite.co.za/medias/10722941EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w5Mjk5N3xpbWFnZS9wbmd8aW1hZ2VzL2g1OC9oYzUvOTA0NzAxODY2ODA2Mi5wbmd8NDM0ZjEzYzJkZjQyMDVmZjIxMmVhZjY5NDZlODY1NDVlMTJiNTdkZDViNzljMjNhM2YyODA2YjllYWM5OTI2Nw
 Lovies Baby Soap Lavender Fragrance 175g, R13.99,https://www.shoprite.co.za/medias/10716242EAv2-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w1MzQxMXxpbWFnZS9wbmd8aW1hZ2VzL2g5Yy9oY2QvOTEzOTIwMzc2ODM1MC5wbmd8OTQ0YWQ5YzVmMDczN2QyN2Y1YmExYzdlZWExNDA5NWE2ZDZjMjllZDhhM2I3MjlkMjFlYThhYWUyZjdjMTU5Mg
 Lovies Baby Soap Baby Lotion Fragrance 175g, R13.99,https://www.shoprite.co.za/medias/10716241EAv2-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w1MDY1NXxpbWFnZS9wbmd8aW1hZ2VzL2hmNS9oNGYvOTEzOTE5Nzk2ODQxNC5wbmd8MGM5ZjgzNTg4OGYwN2RhZDA0MTc1NWZkNzBmYzk5YzBmNTkwYjJhYTJiNTk0NDQ1OTY5MDllMzA4Nzg1OWNlZA
 Darling Juic'd 100% Cranberry Fruit Juice 1.5L, R21.99,https://www.shoprite.co.za/medias/10730448EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w1MTY3MHxpbWFnZS9wbmd8aW1hZ2VzL2g5NC9oYTgvOTE2MzUxNTA2ODQ0Ni5wbmd8YjQxZDJmMjU2YjcwZjBiMTUyN2Y5NmZlZjMwNjZlZDI1ZTRmMDdmZjBjYTZkZjhjMGExNzk0Mjc4OTFlNmM5ZQ
 Itel A52 Black Mobile Phone, R749.00,https://www.shoprite.co.za/medias/10715134EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w2NDc3M3xpbWFnZS9wbmd8aW1hZ2VzL2hkYS9oY2YvOTE0Nzg4MDkzMTM1OC5wbmd8MTZjZjYzYTNiNjc3ZDEzYjY2ZTQxNzU3ODg5Yjc5YzhlMzhjNjBiOTVkMjAzNzA3MGM2ZDcyNDI3YjY0NzI2Yg
 Ritebrand Spring Fresh Fabric Softener Refill Sachet 500ml, R17.99,https://www.shoprite.co.za/medias/10523262EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w0MTYxOHxpbWFnZS9wbmd8aW1hZ2VzL2hiNy9oYzAvODk3MTE0NjU5MjI4Ni5wbmd8OTdhMmJmYjRlZGEwMDI0MzQ5OTE5OGEwNDlmNjVjMjJjZjU5N2EzYTFhMWIxYWY0YjIxYWU1ZWI2MTM0NjQ1Zg
 Ritebrand Lemon Scented Dishwashing Liquid Refill 750ml, R17.99,https://www.shoprite.co.za/medias/10524294EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w2Nzc2OXxpbWFnZS9wbmd8aW1hZ2VzL2hhZS9oMGMvODk3MTE1MTUwNzQ4Ni5wbmd8YzdkOTAzMDYzOGRkNTdiNzU4NDFmMTQ5MTk4YTI3MWVjYjk4ZGQxMDAzNjg2ZjFmZmZjNTI5ZGMxMDY4YTljNg
 Lovies Premium Size 1 Newborn Disposable Nappies 56 Pack, R119.99,https://www.shoprite.co.za/medias/10525360EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wxMjUyNjN8aW1hZ2UvcG5nfGltYWdlcy9oNjgvaDJmLzg4NzkzMjAxNzA1MjYucG5nfDEyMWZkMWIzYTZiMjkxOWM4ODY1ZTVhMmY4ODY4MzU0ODNhNzFiYTdiYWFmNGZlMjdhYzAyMzU1YjRlYzBmNzk
 Farmer's Deli Red Viennas Pack 1kg, R46.99,https://www.shoprite.co.za/medias/10535272EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wxNjAzMTR8aW1hZ2UvcG5nfGltYWdlcy9oZWQvaDY4Lzg5NDE0NDA0MzQyMDYucG5nfDhlMTZlNDA1ZmVmYjdiMTYwYTMwMWI3MTYxOWZlZDBjZDY2NjEwYTNjNzg1YmNhZTljM2M0ZmI2ZTAzMDgyMzA
 Renew Normal Hair Shampoo 1L, R56.99,https://www.shoprite.co.za/medias/10534873EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w0NTI5MHxpbWFnZS9wbmd8aW1hZ2VzL2g1Ny9oMjIvODk0MTQ5MjAxMTAzOC5wbmd8YTA2ZGZiMjdiMDVlOTBkMjEyODM4ZDc4ZjYyY2ExMWJjZWZjYzVmZGE4YTZlMTY5ODkxY2U2OWZmM2U4ZGI1Mg
 Renew Aloe Vera & Herbs Normal Hair Shampoo 1L, R56.99,https://www.shoprite.co.za/medias/10534875EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w0MTE4MnxpbWFnZS9wbmd8aW1hZ2VzL2g5Mi9oMzYvODk0MTQ5MTE1OTA3MC5wbmd8ZjFkNGJiYzY1YTJmMmFmYTJkYjE2NzU1NGE3MzdmYWQ1MDEzMDRhOTczN2FmYWU0ZDc1YTgyMjJjOGU3MWQ1MQ
 Renew Almond Oil & Shea Butter Shampoo For Dry & Damaged Hair 1L, R56.99,https://www.shoprite.co.za/medias/10534874EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w0MTU0OXxpbWFnZS9wbmd8aW1hZ2VzL2g0Ni9oYTcvODk0MTQ5MDMwNzEwMi5wbmd8OGQwNWRlNWVhMmI0OTczNjk3NTU4NGFiMmRlOTMzMDA2YTYzZTFiMjJhNjQxYTNjNmI0NTg0MDcxY2U0ZWRiYQ
 Ritebrand Lime Flavoured Instant Jelly 80g, R6.49,https://www.shoprite.co.za/medias/10135779EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w3MTg0MHxpbWFnZS9wbmd8aW1hZ2VzL2g3OS9oY2EvODk2NzUzMzA2ODMxOC5wbmd8OWJhZDA4ZDYwOTMyNDkzNGE1YWFmZDk4MDEyZmQ0ZGM2NmI2NDVkM2M1Nzc2YzczNmFkOTRmMzQyMTBjM2VmMA
